t_rel,cum_migrations
703.948,19343377
705.954,19343377
707.959,19343377
709.964,19343377
711.969,19343377
713.975,19343377
715.980,19343377
717.986,19343377
719.992,19343377
721.997,19343377
724.003,19343377
726.008,19343377
728.014,19343377
730.019,19343377
732.025,19343377
734.031,19343377
736.036,19343377
738.042,19343377
740.048,19343377
742.053,19343377
744.059,19343377
746.065,19343377
748.070,19343377
750.076,19343377
752.081,19343377
754.086,19343377
756.091,19343377
758.097,19343377
760.102,19343377
762.107,19343377
764.112,19343377
766.117,19343377
768.123,19343377
770.128,19343377
772.133,19343377
774.138,19343377
776.144,19343377
778.149,19343377
780.154,19343377
782.159,19343377
784.164,19343377
786.169,19343377
788.175,19343377
790.181,19343377
792.187,19343377
794.192,19343377
796.197,19343377
798.203,19343377
800.209,19343377
802.215,19343377
804.221,19343377
806.226,19343377
808.232,19343377
810.238,19343377
812.243,19343377
814.249,19343377
816.255,19343377
818.260,19343377
820.266,19343377
822.271,19343377
824.276,19343377
826.281,19343377
828.287,19343377
830.292,19343377
832.297,19343377
834.302,19343377
836.308,19343377
838.313,19343377
840.318,19343377
842.323,19343377
844.329,19343377
846.334,19343377
848.339,19343377
850.345,19343377
852.350,19343377
854.356,19343377
856.361,19343377
858.367,19343377
860.372,19343377
862.378,19343377
864.383,19343377
866.388,19343377
868.394,19343377
870.400,19343377
872.405,19343377
874.411,19343377
876.417,19343377
878.423,19343377
880.428,19343377
882.434,19343377
884.440,19343377
886.445,19343377
888.451,19343377
890.457,19343377
892.462,19343377
894.468,19343377
896.473,19343377
898.478,19343377
900.484,19343377
902.490,19343377
904.495,19343377
906.500,19343377
908.506,19343377
910.512,19343377
912.518,19343377
914.524,19343377
916.529,19343377
918.534,19343377
920.540,19343377
922.546,19343377
924.552,19343377
926.557,19343377
928.563,19343377
930.568,19343377
932.574,19343377
934.580,19343377
936.585,19343377
938.591,19343377
940.597,19343377
942.603,19343377
944.608,19343377
946.613,19343377
948.618,19343377
950.624,19343377
952.629,19343377
954.634,19343377
956.640,19343377
958.645,19343377
960.650,19343377
962.656,19343377
964.661,19343377
966.666,19343377
968.671,19343377
970.677,19343377
972.682,19343377
974.687,19343377
976.693,19343377
978.699,19343377
980.704,19343377
982.709,19343377
984.714,19343377
986.720,19343377
988.726,19343377
990.731,19343377
992.737,19343377
994.743,19343377
996.749,19343377
998.755,19343377
1000.761,19343377
1002.766,19343377
1004.772,19343377
1006.778,19343377
1008.783,19343377
1010.789,19343377
1012.795,19343377
1014.800,19343377
1016.806,19343377
1018.812,19343377
1020.817,19343377
1022.822,19343377
1024.828,19343377
1026.833,19343377
1028.838,19343377
1030.843,19343377
1032.849,19343377
1034.854,19343377
1036.859,19343377
1038.865,19343377
1040.870,19343377
1042.875,19343377
1044.881,19343377
